dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,postalCode,lastSeen,yearOfCreation,yearCrawled,monthOfCreation,monthCrawled,yearsOld,monthsOld
2016-03-28 13:06:19,Bohse_Euro_Star,privat,Offer,5000,test,cabrio,1990,manuell,45,andere,5000,Jan,Gasoline,lada,No,2016-03-28 00:00:00,63263,2016-04-06 07:46:17,2016,2016,March,March,26,11
2016-03-07 18:40:21,Lada_nova_2105_spezial_Cabrio_bj_85_org_900km,privat,Offer,0,control,cabrio,1985,manuell,65,andere,5000,May,Gasoline,lada,No,2016-03-07 00:00:00,14641,2016-04-07 01:44:31,2016,2016,March,March,31,7
